mapBound(10000,800)
(0,0,1,1,)
(1,0,0,0,)
(2,0,1,0,)
(3,0,1,1,)
(4,0,0,1,)
(5,0,0,1,)
(6,0,0,0,)
(7,0,0,0,)
(8,0,0,0,)
(9,0,0,0,)
(10,0,0,1,)
(11,0,1,1,)
(12,0,1,1,)
(13,0,1,0,)
(14,0,1,0,)
(15,0,0,0,)
(16,0,1,0,)
(17,0,1,0,)
(18,0,0,1,)
(19,0,1,1,)
(20,0,1,1,)
(21,0,0,1,)
(22,0,0,0,)
(23,0,1,0,)
(24,0,1,1,)
(25,0,1,1,)
(26,0,0,0,)
(27,0,1,0,)
(28,0,0,1,)
(29,0,1,0,)
(30,0,0,0,)
(31,0,0,0,)
(32,0,0,0,)
(33,0,0,0,)
(34,0,1,1,)
(35,0,1,1,)
(36,0,0,1,)
(37,0,1,0,)
(38,0,1,1,)
(39,0,1,1,)
(40,0,1,1,)
(41,0,0,1,)
(42,0,0,0,)
(43,0,1,0,)
(44,0,0,1,)
(45,0,0,1,)
(46,0,0,0,)
(47,0,0,1,)
(48,0,1,0,)
(49,0,1,0,)
(0,1,0,1,)
(1,1,0,1,)
(2,1,0,1,)
(3,1,1,1,)
(4,1,1,0,)
(5,1,0,0,)
(6,1,1,1,)
(7,1,1,1,)
(8,1,1,1,)
(9,1,1,1,)
(10,1,0,0,)
(11,1,0,1,)
(12,1,1,0,)
(13,1,0,1,)
(14,1,1,0,)
(15,1,0,0,)
(16,1,0,0,)
(17,1,0,1,)
(18,1,1,0,)
(19,1,0,1,)
(20,1,0,0,)
(21,1,0,0,)
(22,1,0,0,)
(23,1,1,1,)
(24,1,1,0,)
(25,1,1,1,)
(26,1,1,0,)
(27,1,1,1,)
(28,1,0,1,)
(29,1,1,0,)
(30,1,1,1,)
(31,1,0,0,)
(32,1,0,0,)
(33,1,0,0,)
(34,1,0,0,)
(35,1,0,0,)
(36,1,1,0,)
(37,1,1,0,)
(38,1,0,1,)
(39,1,1,1,)
(40,1,1,0,)
(41,1,0,0,)
(42,1,1,1,)
(43,1,0,1,)
(44,1,1,1,)
(45,1,1,0,)
(46,1,0,1,)
(47,1,0,0,)
(48,1,0,0,)
(49,1,0,1,)
(0,2,0,0,)
(1,2,0,1,)
(2,2,1,1,)
(3,2,0,0,)
(4,2,1,1,)
(5,2,1,1,)
(6,2,0,0,)
(7,2,0,0,)
(8,2,1,0,)
(9,2,0,1,)
(10,2,1,1,)
(11,2,0,0,)
